# ----------------------------------------
# 1 Master View
# Обзор аудитории
# 20190501-20190522
# ----------------------------------------

Индекс часа,Диапазон дат,Сегмент,Пользователи
000305,01.05.2019 - 22.05.2019,Все пользователи,116
000305,01.05.2019 - 22.05.2019,Новые пользователи,82
000305,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,33
000306,01.05.2019 - 22.05.2019,Все пользователи,112
000306,01.05.2019 - 22.05.2019,Новые пользователи,78
000306,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,34
000307,01.05.2019 - 22.05.2019,Все пользователи,96
000307,01.05.2019 - 22.05.2019,Новые пользователи,73
000307,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,31
000308,01.05.2019 - 22.05.2019,Все пользователи,94
000308,01.05.2019 - 22.05.2019,Новые пользователи,70
000308,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,25
000309,01.05.2019 - 22.05.2019,Все пользователи,78
000309,01.05.2019 - 22.05.2019,Новые пользователи,61
000309,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,17
000310,01.05.2019 - 22.05.2019,Все пользователи,84
000310,01.05.2019 - 22.05.2019,Новые пользователи,65
000310,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,34
000311,01.05.2019 - 22.05.2019,Все пользователи,88
000311,01.05.2019 - 22.05.2019,Новые пользователи,67
000311,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,27
000312,01.05.2019 - 22.05.2019,Все пользователи,79
000312,01.05.2019 - 22.05.2019,Новые пользователи,66
000312,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,16
000313,01.05.2019 - 22.05.2019,Все пользователи,97
000313,01.05.2019 - 22.05.2019,Новые пользователи,83
000313,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,18
000314,01.05.2019 - 22.05.2019,Все пользователи,91
000314,01.05.2019 - 22.05.2019,Новые пользователи,68
000314,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,18
000315,01.05.2019 - 22.05.2019,Все пользователи,69
000315,01.05.2019 - 22.05.2019,Новые пользователи,62
000315,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,20
000316,01.05.2019 - 22.05.2019,Все пользователи,75
000316,01.05.2019 - 22.05.2019,Новые пользователи,60
000316,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,17
000317,01.05.2019 - 22.05.2019,Все пользователи,89
000317,01.05.2019 - 22.05.2019,Новые пользователи,68
000317,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,21
000318,01.05.2019 - 22.05.2019,Все пользователи,112
000318,01.05.2019 - 22.05.2019,Новые пользователи,86
000318,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,24
000319,01.05.2019 - 22.05.2019,Все пользователи,141
000319,01.05.2019 - 22.05.2019,Новые пользователи,100
000319,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,26
000320,01.05.2019 - 22.05.2019,Все пользователи,148
000320,01.05.2019 - 22.05.2019,Новые пользователи,108
000320,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,31
000321,01.05.2019 - 22.05.2019,Все пользователи,147
000321,01.05.2019 - 22.05.2019,Новые пользователи,97
000321,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,35
000322,01.05.2019 - 22.05.2019,Все пользователи,166
000322,01.05.2019 - 22.05.2019,Новые пользователи,114
000322,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,32
000323,01.05.2019 - 22.05.2019,Все пользователи,142
000323,01.05.2019 - 22.05.2019,Новые пользователи,95
000323,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,21
000324,01.05.2019 - 22.05.2019,Все пользователи,154
000324,01.05.2019 - 22.05.2019,Новые пользователи,99
000324,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,40
000325,01.05.2019 - 22.05.2019,Все пользователи,156
000325,01.05.2019 - 22.05.2019,Новые пользователи,107
000325,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,29
000326,01.05.2019 - 22.05.2019,Все пользователи,120
000326,01.05.2019 - 22.05.2019,Новые пользователи,91
000326,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,36
000327,01.05.2019 - 22.05.2019,Все пользователи,112
000327,01.05.2019 - 22.05.2019,Новые пользователи,73
000327,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,19
000328,01.05.2019 - 22.05.2019,Все пользователи,107
000328,01.05.2019 - 22.05.2019,Новые пользователи,70
000328,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,28
000329,01.05.2019 - 22.05.2019,Все пользователи,84
000329,01.05.2019 - 22.05.2019,Новые пользователи,62
000329,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,30
000330,01.05.2019 - 22.05.2019,Все пользователи,82
000330,01.05.2019 - 22.05.2019,Новые пользователи,65
000330,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,34
000331,01.05.2019 - 22.05.2019,Все пользователи,91
000331,01.05.2019 - 22.05.2019,Новые пользователи,64
000331,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,24
000332,01.05.2019 - 22.05.2019,Все пользователи,77
000332,01.05.2019 - 22.05.2019,Новые пользователи,61
000332,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,24
000333,01.05.2019 - 22.05.2019,Все пользователи,75
000333,01.05.2019 - 22.05.2019,Новые пользователи,57
000333,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,28
000334,01.05.2019 - 22.05.2019,Все пользователи,73
000334,01.05.2019 - 22.05.2019,Новые пользователи,47
000334,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,12
000335,01.05.2019 - 22.05.2019,Все пользователи,100
000335,01.05.2019 - 22.05.2019,Новые пользователи,73
000335,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,27
000336,01.05.2019 - 22.05.2019,Все пользователи,91
000336,01.05.2019 - 22.05.2019,Новые пользователи,74
000336,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,14
000337,01.05.2019 - 22.05.2019,Все пользователи,95
000337,01.05.2019 - 22.05.2019,Новые пользователи,70
000337,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,25
000338,01.05.2019 - 22.05.2019,Все пользователи,106
000338,01.05.2019 - 22.05.2019,Новые пользователи,90
000338,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,34
000339,01.05.2019 - 22.05.2019,Все пользователи,97
000339,01.05.2019 - 22.05.2019,Новые пользователи,75
000339,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,16
000340,01.05.2019 - 22.05.2019,Все пользователи,94
000340,01.05.2019 - 22.05.2019,Новые пользователи,73
000340,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,18
000341,01.05.2019 - 22.05.2019,Все пользователи,120
000341,01.05.2019 - 22.05.2019,Новые пользователи,93
000341,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,25
000342,01.05.2019 - 22.05.2019,Все пользователи,115
000342,01.05.2019 - 22.05.2019,Новые пользователи,86
000342,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,18
000343,01.05.2019 - 22.05.2019,Все пользователи,159
000343,01.05.2019 - 22.05.2019,Новые пользователи,115
000343,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,34
000344,01.05.2019 - 22.05.2019,Все пользователи,179
000344,01.05.2019 - 22.05.2019,Новые пользователи,131
000344,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,24
000345,01.05.2019 - 22.05.2019,Все пользователи,148
000345,01.05.2019 - 22.05.2019,Новые пользователи,101
000345,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,26
000346,01.05.2019 - 22.05.2019,Все пользователи,139
000346,01.05.2019 - 22.05.2019,Новые пользователи,89
000346,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,29
000347,01.05.2019 - 22.05.2019,Все пользователи,170
000347,01.05.2019 - 22.05.2019,Новые пользователи,129
000347,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,28
000348,01.05.2019 - 22.05.2019,Все пользователи,139
000348,01.05.2019 - 22.05.2019,Новые пользователи,94
000348,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,34
000349,01.05.2019 - 22.05.2019,Все пользователи,154
000349,01.05.2019 - 22.05.2019,Новые пользователи,106
000349,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,30
000350,01.05.2019 - 22.05.2019,Все пользователи,131
000350,01.05.2019 - 22.05.2019,Новые пользователи,88
000350,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,23
000351,01.05.2019 - 22.05.2019,Все пользователи,118
000351,01.05.2019 - 22.05.2019,Новые пользователи,80
000351,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,32
000352,01.05.2019 - 22.05.2019,Все пользователи,102
000352,01.05.2019 - 22.05.2019,Новые пользователи,70
000352,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,21
000353,01.05.2019 - 22.05.2019,Все пользователи,88
000353,01.05.2019 - 22.05.2019,Новые пользователи,52
000353,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,33
000354,01.05.2019 - 22.05.2019,Все пользователи,97
000354,01.05.2019 - 22.05.2019,Новые пользователи,76
000354,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,31
000355,01.05.2019 - 22.05.2019,Все пользователи,103
000355,01.05.2019 - 22.05.2019,Новые пользователи,63
000355,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,33
000356,01.05.2019 - 22.05.2019,Все пользователи,96
000356,01.05.2019 - 22.05.2019,Новые пользователи,66
000356,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,31
000357,01.05.2019 - 22.05.2019,Все пользователи,96
000357,01.05.2019 - 22.05.2019,Новые пользователи,69
000357,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,35
000358,01.05.2019 - 22.05.2019,Все пользователи,88
000358,01.05.2019 - 22.05.2019,Новые пользователи,54
000358,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,32
000359,01.05.2019 - 22.05.2019,Все пользователи,73
000359,01.05.2019 - 22.05.2019,Новые пользователи,59
000359,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,18
000360,01.05.2019 - 22.05.2019,Все пользователи,113
000360,01.05.2019 - 22.05.2019,Новые пользователи,91
000360,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,28
000361,01.05.2019 - 22.05.2019,Все пользователи,109
000361,01.05.2019 - 22.05.2019,Новые пользователи,85
000361,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,21
000362,01.05.2019 - 22.05.2019,Все пользователи,88
000362,01.05.2019 - 22.05.2019,Новые пользователи,65
000362,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,17
000363,01.05.2019 - 22.05.2019,Все пользователи,111
000363,01.05.2019 - 22.05.2019,Новые пользователи,89
000363,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,26
000364,01.05.2019 - 22.05.2019,Все пользователи,81
000364,01.05.2019 - 22.05.2019,Новые пользователи,66
000364,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,17
000365,01.05.2019 - 22.05.2019,Все пользователи,113
000365,01.05.2019 - 22.05.2019,Новые пользователи,82
000365,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,27
000366,01.05.2019 - 22.05.2019,Все пользователи,123
000366,01.05.2019 - 22.05.2019,Новые пользователи,90
000366,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,32
000367,01.05.2019 - 22.05.2019,Все пользователи,127
000367,01.05.2019 - 22.05.2019,Новые пользователи,94
000367,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,30
000368,01.05.2019 - 22.05.2019,Все пользователи,155
000368,01.05.2019 - 22.05.2019,Новые пользователи,109
000368,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,37
000369,01.05.2019 - 22.05.2019,Все пользователи,163
000369,01.05.2019 - 22.05.2019,Новые пользователи,117
000369,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,38
000370,01.05.2019 - 22.05.2019,Все пользователи,162
000370,01.05.2019 - 22.05.2019,Новые пользователи,118
000370,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,29
000371,01.05.2019 - 22.05.2019,Все пользователи,142
000371,01.05.2019 - 22.05.2019,Новые пользователи,92
000371,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,27
000372,01.05.2019 - 22.05.2019,Все пользователи,135
000372,01.05.2019 - 22.05.2019,Новые пользователи,87
000372,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,39
000373,01.05.2019 - 22.05.2019,Все пользователи,145
000373,01.05.2019 - 22.05.2019,Новые пользователи,98
000373,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,27
000374,01.05.2019 - 22.05.2019,Все пользователи,134
000374,01.05.2019 - 22.05.2019,Новые пользователи,87
000374,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,40
000375,01.05.2019 - 22.05.2019,Все пользователи,108
000375,01.05.2019 - 22.05.2019,Новые пользователи,75
000375,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,35
000376,01.05.2019 - 22.05.2019,Все пользователи,122
000376,01.05.2019 - 22.05.2019,Новые пользователи,89
000376,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,34
000377,01.05.2019 - 22.05.2019,Все пользователи,94
000377,01.05.2019 - 22.05.2019,Новые пользователи,72
000377,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,31
000378,01.05.2019 - 22.05.2019,Все пользователи,74
000378,01.05.2019 - 22.05.2019,Новые пользователи,49
000378,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,25
000379,01.05.2019 - 22.05.2019,Все пользователи,94
000379,01.05.2019 - 22.05.2019,Новые пользователи,63
000379,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,34
000380,01.05.2019 - 22.05.2019,Все пользователи,76
000380,01.05.2019 - 22.05.2019,Новые пользователи,50
000380,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,23
000381,01.05.2019 - 22.05.2019,Все пользователи,78
000381,01.05.2019 - 22.05.2019,Новые пользователи,59
000381,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,29
000382,01.05.2019 - 22.05.2019,Все пользователи,80
000382,01.05.2019 - 22.05.2019,Новые пользователи,62
000382,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,32
000383,01.05.2019 - 22.05.2019,Все пользователи,100
000383,01.05.2019 - 22.05.2019,Новые пользователи,78
000383,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,19
000384,01.05.2019 - 22.05.2019,Все пользователи,176
000384,01.05.2019 - 22.05.2019,Новые пользователи,122
000384,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,18
000385,01.05.2019 - 22.05.2019,Все пользователи,104
000385,01.05.2019 - 22.05.2019,Новые пользователи,65
000385,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,24
000386,01.05.2019 - 22.05.2019,Все пользователи,68
000386,01.05.2019 - 22.05.2019,Новые пользователи,47
000386,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,12
000387,01.05.2019 - 22.05.2019,Все пользователи,65
000387,01.05.2019 - 22.05.2019,Новые пользователи,51
000387,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,19
000388,01.05.2019 - 22.05.2019,Все пользователи,69
000388,01.05.2019 - 22.05.2019,Новые пользователи,56
000388,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,21
000389,01.05.2019 - 22.05.2019,Все пользователи,88
000389,01.05.2019 - 22.05.2019,Новые пользователи,67
000389,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,17
000390,01.05.2019 - 22.05.2019,Все пользователи,105
000390,01.05.2019 - 22.05.2019,Новые пользователи,78
000390,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,25
000391,01.05.2019 - 22.05.2019,Все пользователи,137
000391,01.05.2019 - 22.05.2019,Новые пользователи,90
000391,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,31
000392,01.05.2019 - 22.05.2019,Все пользователи,130
000392,01.05.2019 - 22.05.2019,Новые пользователи,91
000392,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,27
000393,01.05.2019 - 22.05.2019,Все пользователи,120
000393,01.05.2019 - 22.05.2019,Новые пользователи,78
000393,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,27
000394,01.05.2019 - 22.05.2019,Все пользователи,117
000394,01.05.2019 - 22.05.2019,Новые пользователи,78
000394,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,29
000395,01.05.2019 - 22.05.2019,Все пользователи,121
000395,01.05.2019 - 22.05.2019,Новые пользователи,76
000395,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,32
000396,01.05.2019 - 22.05.2019,Все пользователи,116
000396,01.05.2019 - 22.05.2019,Новые пользователи,79
000396,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,27
000397,01.05.2019 - 22.05.2019,Все пользователи,110
000397,01.05.2019 - 22.05.2019,Новые пользователи,76
000397,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,22
000398,01.05.2019 - 22.05.2019,Все пользователи,110
000398,01.05.2019 - 22.05.2019,Новые пользователи,75
000398,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,19
000399,01.05.2019 - 22.05.2019,Все пользователи,105
000399,01.05.2019 - 22.05.2019,Новые пользователи,66
000399,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,32
000400,01.05.2019 - 22.05.2019,Все пользователи,82
000400,01.05.2019 - 22.05.2019,Новые пользователи,49
000400,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,25
000401,01.05.2019 - 22.05.2019,Все пользователи,75
000401,01.05.2019 - 22.05.2019,Новые пользователи,50
000401,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,31
000402,01.05.2019 - 22.05.2019,Все пользователи,94
000402,01.05.2019 - 22.05.2019,Новые пользователи,72
000402,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,27
000403,01.05.2019 - 22.05.2019,Все пользователи,62
000403,01.05.2019 - 22.05.2019,Новые пользователи,41
000403,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,24
000404,01.05.2019 - 22.05.2019,Все пользователи,61
000404,01.05.2019 - 22.05.2019,Новые пользователи,39
000404,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,22
000405,01.05.2019 - 22.05.2019,Все пользователи,56
000405,01.05.2019 - 22.05.2019,Новые пользователи,42
000405,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,24
000406,01.05.2019 - 22.05.2019,Все пользователи,53
000406,01.05.2019 - 22.05.2019,Новые пользователи,34
000406,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,19
000407,01.05.2019 - 22.05.2019,Все пользователи,59
000407,01.05.2019 - 22.05.2019,Новые пользователи,46
000407,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,24
000408,01.05.2019 - 22.05.2019,Все пользователи,58
000408,01.05.2019 - 22.05.2019,Новые пользователи,40
000408,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,25
000409,01.05.2019 - 22.05.2019,Все пользователи,57
000409,01.05.2019 - 22.05.2019,Новые пользователи,42
000409,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,22
000410,01.05.2019 - 22.05.2019,Все пользователи,79
000410,01.05.2019 - 22.05.2019,Новые пользователи,62
000410,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,24
000411,01.05.2019 - 22.05.2019,Все пользователи,57
000411,01.05.2019 - 22.05.2019,Новые пользователи,36
000411,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,26
000412,01.05.2019 - 22.05.2019,Все пользователи,76
000412,01.05.2019 - 22.05.2019,Новые пользователи,53
000412,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,23
000413,01.05.2019 - 22.05.2019,Все пользователи,56
000413,01.05.2019 - 22.05.2019,Новые пользователи,40
000413,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,23
000414,01.05.2019 - 22.05.2019,Все пользователи,50
000414,01.05.2019 - 22.05.2019,Новые пользователи,41
000414,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,16
000415,01.05.2019 - 22.05.2019,Все пользователи,73
000415,01.05.2019 - 22.05.2019,Новые пользователи,52
000415,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,27
000416,01.05.2019 - 22.05.2019,Все пользователи,69
000416,01.05.2019 - 22.05.2019,Новые пользователи,41
000416,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,33
000417,01.05.2019 - 22.05.2019,Все пользователи,87
000417,01.05.2019 - 22.05.2019,Новые пользователи,67
000417,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,29
000418,01.05.2019 - 22.05.2019,Все пользователи,69
000418,01.05.2019 - 22.05.2019,Новые пользователи,49
000418,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,28
000419,01.05.2019 - 22.05.2019,Все пользователи,77
000419,01.05.2019 - 22.05.2019,Новые пользователи,59
000419,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,37
000420,01.05.2019 - 22.05.2019,Все пользователи,80
000420,01.05.2019 - 22.05.2019,Новые пользователи,62
000420,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,32
000421,01.05.2019 - 22.05.2019,Все пользователи,59
000421,01.05.2019 - 22.05.2019,Новые пользователи,41
000421,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,23
000422,01.05.2019 - 22.05.2019,Все пользователи,67
000422,01.05.2019 - 22.05.2019,Новые пользователи,48
000422,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,21
000423,01.05.2019 - 22.05.2019,Все пользователи,62
000423,01.05.2019 - 22.05.2019,Новые пользователи,46
000423,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,22
000424,01.05.2019 - 22.05.2019,Все пользователи,63
000424,01.05.2019 - 22.05.2019,Новые пользователи,46
000424,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,24
000425,01.05.2019 - 22.05.2019,Все пользователи,56
000425,01.05.2019 - 22.05.2019,Новые пользователи,47
000425,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,20
000426,01.05.2019 - 22.05.2019,Все пользователи,77
000426,01.05.2019 - 22.05.2019,Новые пользователи,60
000426,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,33
000427,01.05.2019 - 22.05.2019,Все пользователи,60
000427,01.05.2019 - 22.05.2019,Новые пользователи,40
000427,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,23
000428,01.05.2019 - 22.05.2019,Все пользователи,51
000428,01.05.2019 - 22.05.2019,Новые пользователи,38
000428,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,13
000429,01.05.2019 - 22.05.2019,Все пользователи,66
000429,01.05.2019 - 22.05.2019,Новые пользователи,46
000429,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,24
000430,01.05.2019 - 22.05.2019,Все пользователи,47
000430,01.05.2019 - 22.05.2019,Новые пользователи,27
000430,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,14
000431,01.05.2019 - 22.05.2019,Все пользователи,53
000431,01.05.2019 - 22.05.2019,Новые пользователи,36
000431,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,18
000432,01.05.2019 - 22.05.2019,Все пользователи,42
000432,01.05.2019 - 22.05.2019,Новые пользователи,29
000432,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,21
000433,01.05.2019 - 22.05.2019,Все пользователи,48
000433,01.05.2019 - 22.05.2019,Новые пользователи,39
000433,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,18
000434,01.05.2019 - 22.05.2019,Все пользователи,58
000434,01.05.2019 - 22.05.2019,Новые пользователи,49
000434,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,13
000435,01.05.2019 - 22.05.2019,Все пользователи,56
000435,01.05.2019 - 22.05.2019,Новые пользователи,52
000435,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,19
000436,01.05.2019 - 22.05.2019,Все пользователи,49
000436,01.05.2019 - 22.05.2019,Новые пользователи,38
000436,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,15
000437,01.05.2019 - 22.05.2019,Все пользователи,47
000437,01.05.2019 - 22.05.2019,Новые пользователи,39
000437,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,18
000438,01.05.2019 - 22.05.2019,Все пользователи,62
000438,01.05.2019 - 22.05.2019,Новые пользователи,49
000438,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,22
000439,01.05.2019 - 22.05.2019,Все пользователи,69
000439,01.05.2019 - 22.05.2019,Новые пользователи,57
000439,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,28
000440,01.05.2019 - 22.05.2019,Все пользователи,79
000440,01.05.2019 - 22.05.2019,Новые пользователи,59
000440,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,27
000441,01.05.2019 - 22.05.2019,Все пользователи,73
000441,01.05.2019 - 22.05.2019,Новые пользователи,57
000441,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,24
000442,01.05.2019 - 22.05.2019,Все пользователи,70
000442,01.05.2019 - 22.05.2019,Новые пользователи,53
000442,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,23
000443,01.05.2019 - 22.05.2019,Все пользователи,73
000443,01.05.2019 - 22.05.2019,Новые пользователи,57
000443,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,19
000444,01.05.2019 - 22.05.2019,Все пользователи,64
000444,01.05.2019 - 22.05.2019,Новые пользователи,51
000444,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,28
000445,01.05.2019 - 22.05.2019,Все пользователи,76
000445,01.05.2019 - 22.05.2019,Новые пользователи,57
000445,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,30
000446,01.05.2019 - 22.05.2019,Все пользователи,69
000446,01.05.2019 - 22.05.2019,Новые пользователи,49
000446,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,17
000447,01.05.2019 - 22.05.2019,Все пользователи,69
000447,01.05.2019 - 22.05.2019,Новые пользователи,52
000447,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,25
000448,01.05.2019 - 22.05.2019,Все пользователи,49
000448,01.05.2019 - 22.05.2019,Новые пользователи,35
000448,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,18
000449,01.05.2019 - 22.05.2019,Все пользователи,70
000449,01.05.2019 - 22.05.2019,Новые пользователи,51
000449,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,27
000450,01.05.2019 - 22.05.2019,Все пользователи,59
000450,01.05.2019 - 22.05.2019,Новые пользователи,43
000450,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,25
000451,01.05.2019 - 22.05.2019,Все пользователи,55
000451,01.05.2019 - 22.05.2019,Новые пользователи,38
000451,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,15
000452,01.05.2019 - 22.05.2019,Все пользователи,63
000452,01.05.2019 - 22.05.2019,Новые пользователи,40
000452,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,25
000453,01.05.2019 - 22.05.2019,Все пользователи,73
000453,01.05.2019 - 22.05.2019,Новые пользователи,45
000453,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,30
000454,01.05.2019 - 22.05.2019,Все пользователи,66
000454,01.05.2019 - 22.05.2019,Новые пользователи,46
000454,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,24
000455,01.05.2019 - 22.05.2019,Все пользователи,78
000455,01.05.2019 - 22.05.2019,Новые пользователи,65
000455,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,20
000456,01.05.2019 - 22.05.2019,Все пользователи,45
000456,01.05.2019 - 22.05.2019,Новые пользователи,31
000456,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,19
000457,01.05.2019 - 22.05.2019,Все пользователи,100
000457,01.05.2019 - 22.05.2019,Новые пользователи,83
000457,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,24
